id_cliente,nome_completo,cpf,data_nascimento,idade,genero,estado_civil,profissao,faixa_renda,email_principal,email_alternativo,telefone_celular,telefone_fixo,logradouro,numero,complemento,bairro,cidade,estado_uf,cep,pais,tipo_residencia,data_cadastro,origem_cadastro,codigo_indicacao_usado,cupom_desconto,plano_assinatura,valor_plano,ciclo_faturamento,status,data_ultimo_pagamento,metodo_pagamento,bandeira_cartao,ultimos_4_digitos_cartao,validade_cartao,chave_pix_tipo,dias_atraso,meses_como_cliente,total_pago_R$,qtd_perfis_criados,qtd_telas_contratadas,dispositivo_principal,dispositivos_cadastrados,idioma_preferido,legenda_preferida,controle_parental_ativo,aceitou_termos_lgpd,aceitou_marketing_email,aceitou_marketing_sms,aceitou_cookies,ultimo_acesso,ip_ultimo_acesso,motivo_cancelamento,avaliacao_plataforma_1_a_5
CLI-1000,Renata Gomes Soares,284.528.229-70,24/05/2006,19,Feminino,Solteiro(a),Aux de serviço gerais,Até R$2k,renata.gomes.soares43@gmail.com,renata68@outlook.com,(27) 98048-4290,,Rua das Acácias,240,Casa,Adrianópolis,Vitória,ES,70468-812,Brasil,Casa,2024-01-13,Site,IND8200,BLACK50,Padrão,34.9,Mensal,Inativo,2026-03-10,Boleto,,,,,0,27,129.31,2,2,Celular Android,"Celular Android, Notebook, Chromecast",Português,Português,Sim,Sim,Não,Sim,Sim,2026-03-22 00:00,144.117.31.15,Preço alto,1
CLI-1001,Diego Nascimento Rodrigues,458.420.806-10,29/03/1999,26,Masculino,União Estável,Estudante,R$4k a R$7k,diego.nascimento.rodrigues11@gmail.com,diego51@outlook.com,(92) 98286-2714,,Rua Barão de Melgaço,2197,Casa,Flores,Parintins,AM,93218-794,Brasil,Casa,2025-01-17,Site,,,Premium,49.9,Mensal,Ativo,2026-04-17,Débito em Conta,,7025,06/31,,0,15,650.85,3,4,Console Xbox,Tablet,Português,Inglês,Não,Sim,Sim,Sim,Sim,2026-04-27 07:00,180.82.98.94,,2
CLI-1002,Mariana Cavalcanti Soares,223.437.393-91,22/08/2001,24,Masculino,Divorciado(a),Desenvolvedor,R$2k a R$4k,mariana.cavalcanti.soares1@gmail.com,mariana22@outlook.com,(92) 98224-7361,,Av. Getúlio Vargas,748,,Ponta Negra,Parintins,AM,60779-100,Brasil,Apartamento,2024-01-10,Site,,,Básico,19.9,Mensal,Inativo,2026-04-16,Cartão de Crédito,Mastercard,5129,07/26,,0,28,353.82,1,1,Fire Stick,Fire Stick,Português,Português,Sim,Sim,Não,Não,Sim,2026-04-24 00:00,103.62.201.69,Migrou para concorrente,1
CLI-1003,Enzo Cavalcanti Pereira,167.986.918-29,04/08/1988,37,Feminino,Solteiro(a),Vendedor,R$2k a R$4k,enzo.cavalcanti.pereira9@gmail.com,,(41) 97565-8111,,Av. Getúlio Vargas,315,,Alvorada,Curitiba,PR,21755-549,Brasil,Casa,2022-02-16,Smart TV,,BEMVINDO10,Padrão,34.9,Mensal,Ativo,2026-04-10,Boleto,,,,,0,51,1747.92,1,2,Notebook,"Notebook, Chromecast, Smart TV, Fire Stick",Português,Inglês,Sim,Sim,Não,Não,Sim,2026-04-28 15:00,160.196.170.170,,2
CLI-1004,Leandro Ribeiro Freitas,641.965.776-80,24/11/1964,61,Feminino,Solteiro(a),Enfermeiro,Acima de R$10k,leandro.ribeiro.freitas91@gmail.com,,(41) 92656-8439,,Av. Paulista,2267,Fundos,Centro,Curitiba,PR,58714-403,Brasil,Apartamento,2022-11-08,App Android,,,Básico,19.9,Mensal,Inativo,2026-02-28,PIX,,,,Telefone,0,42,442.5,1,1,Tablet,"Console Xbox, iPhone, Tablet",Português,Inglês,Não,Sim,Sim,Não,Sim,2026-03-04 00:00,113.37.118.147,Falta de tempo,4
CLI-1005,Gabriel Freitas Cavalcanti,204.846.829-16,03/05/2001,24,Masculino,Casado(a),Professor,Até R$2k,gabriel.freitas.cavalcanti18@gmail.com,,(91) 97543-3929,,Av. Paulista,2093,,Ponta Negra,Belém,PA,73688-612,Brasil,Casa,2024-12-11,App Android,,,Família,59.9,Mensal,Ativo,2026-05-02,PIX,,,,Chave Aleatória,0,16,927.55,4,5,Tablet,"Chromecast, iPhone, Celular Android",Português,Desativada,Não,Sim,Sim,Não,Sim,2026-04-28 14:00,111.167.227.119,,1
CLI-1006,Juliana Cavalcanti Melo,754.958.114-54,31/07/1984,41,Masculino,Casado(a),Aposentado,R$4k a R$7k,juliana.cavalcanti.melo70@gmail.com,juliana36@outlook.com,(92) 91768-2934,,Alameda das Palmeiras,51,,Jardins,Parintins,AM,77556-530,Brasil,Apartamento,2025-02-25,App iOS,IND4087,AMIGO15,Premium,49.9,Mensal,Ativo,2026-05-01,Débito em Conta,,4826,01/27,,0,14,607.08,3,4,Chromecast,"Chromecast, Console Xbox",Português,Espanhol,Sim,Sim,Sim,Não,Sim,2026-04-28 03:00,125.131.45.178,,1
CLI-1007,Gustavo Pereira Oliveira,164.441.720-33,05/06/2003,22,Feminino,Viúvo(a),Designer,Acima de R$10k,gustavo.pereira.oliveira42@gmail.com,gustavo46@outlook.com,(31) 96178-5703,(31) 4238-8728,Av. Getúlio Vargas,937,,Centro Sul,Belo Horizonte,MG,14516-730,Brasil,Apartamento,2024-06-13,App iOS,,BLACK50,Premium,49.9,Mensal,Ativo,2026-04-29,PayPal,,,,,0,22,941.62,5,4,Tablet,"Console Xbox, Console PS5, iPhone, Fire Stick",Português,Português,Não,Sim,Sim,Não,Sim,2026-04-30 11:00,180.228.237.207,,3
CLI-1008,Isabela Oliveira Mendes,632.343.814-63,19/05/1982,43,Masculino,Solteiro(a),Enfermeiro,R$7k a R$10k,isabela.oliveira.mendes71@gmail.com,,(71) 93209-3756,(71) 4204-3102,Rua Amazonas,1256,Fundos,Ponta Negra,Salvador,BA,31012-565,Brasil,Apartamento,2023-10-22,App iOS,,BLACK50,Família,59.9,Mensal,Inativo,2026-03-06,Débito em Conta,,1939,03/31,,0,30,812.18,5,5,Chromecast,"Notebook, Tablet, Celular Android",Português,Desativada,Não,Sim,Não,Sim,Sim,2026-03-10 00:00,123.81.170.160,Pouco conteúdo,2
CLI-1009,Juliana Souza Rodrigues,259.343.788-49,13/07/2005,20,Feminino,Casado(a),Enfermeiro,R$4k a R$7k,juliana.souza.rodrigues95@gmail.com,juliana72@outlook.com,(31) 96094-8097,,Rua Rio Negro,664,,Ponta Negra,Belo Horizonte,MG,35223-334,Brasil,Apartamento,2024-08-03,App iOS,,AMIGO15,Básico,19.9,Anual,Ativo,2026-04-28,PIX,,,,CPF,0,21,393.21,5,1,Notebook,Console Xbox,Português,Desativada,Sim,Sim,Sim,Não,Sim,2026-04-29 21:00,112.154.90.180,,1
CLI-1010,Leandro Rodrigues Gomes,109.776.828-21,20/09/1967,58,Feminino,Divorciado(a),Desenvolvedor,Até R$2k,leandro.rodrigues.gomes24@gmail.com,,(85) 98144-9921,(85) 4557-8387,Av. Constantino Nery,109,Casa,Compensa,Fortaleza,CE,53796-230,Brasil,Apartamento,2022-06-09,App iOS,,,Premium,49.9,Mensal,Inativo,2026-02-18,PayPal,,,,,0,47,1606.99,4,4,Notebook,"Notebook, Fire Stick",Português,Português,Não,Sim,Sim,Sim,Não,2026-02-26 00:00,132.136.47.27,Migrou para concorrente,1
CLI-1011,Renata Melo Martins,486.264.364-83,29/06/1979,46,Feminino,Viúvo(a),Vendedor,R$7k a R$10k,renata.melo.martins88@hotmail.com,,(41) 94784-8778,(41) 4224-4761,Rua Amazonas,2463,Bloco B,Jardins,Curitiba,PR,90156-428,Brasil,Casa,2023-01-03,App iOS,,BEMVINDO10,Básico,19.9,Mensal,Inativo,2026-02-25,PIX,,,,Chave Aleatória,0,40,193.51,3,1,Fire Stick,"Console Xbox, Console PS5",Português,Português,Não,Sim,Não,Não,Sim,2026-03-07 00:00,167.64.88.165,Pouco conteúdo,3
CLI-1012,Leandro Gomes Fernandes,527.384.884-68,25/06/2004,21,Masculino,Viúvo(a),Enfermeiro,Até R$2k,leandro.gomes.fernandes8@gmail.com,,(62) 98012-4753,(62) 4012-1667,Rua Rio Negro,1539,,Ponta Negra,Goiânia,GO,35299-327,Brasil,Casa,2023-10-28,App iOS,IND9364,,Padrão,34.9,Mensal,Inadimplente,2026-01-15,Boleto,,,,,106,30,901.74,4,2,Chromecast,"Celular Android, Console PS5, Fire Stick",Português,Desativada,Não,Sim,Sim,Não,Sim,2026-04-27 00:00,179.109.98.9,,5
CLI-1013,Larissa Mendes Nascimento,974.157.829-12,15/05/1990,35,Feminino,União Estável,Estudante,Acima de R$10k,larissa.mendes.nascimento51@hotmail.com,,(27) 96555-2741,(27) 3401-5966,Av. Constantino Nery,1697,Casa,Jardins,Vitória,ES,87109-740,Brasil,Apartamento,2024-03-11,Site,,,Básico,19.9,Mensal,Ativo,2026-04-21,Débito em Conta,,3500,02/28,,0,26,488.98,3,1,Console PS5,Chromecast,Inglês,Português,Não,Sim,Sim,Não,Sim,2026-04-29 17:00,182.68.73.164,,4
CLI-1014,Marcos Freitas Melo,696.626.491-58,29/01/1982,43,Masculino,Solteiro(a),Autônomo,Acima de R$10k,marcos.freitas.melo91@hotmail.com,marcos95@outlook.com,(61) 93621-5044,(61) 4020-6592,Av. Getúlio Vargas,844,,Flores,Brasília,DF,62076-675,Brasil,Casa,2023-03-05,App Android,,,Padrão,34.9,Anual,Ativo,2026-04-22,PIX,,,,Email,0,38,1161.32,2,2,iPhone,"Notebook, Console Xbox, Celular Android",Inglês,Português,Não,Sim,Sim,Não,Sim,2026-04-30 18:00,104.94.223.164,,3
CLI-1015,Jorge Cavalcanti Souza,123.137.171-74,27/04/2006,19,Feminino,Divorciado(a),Vendedor,R$2k a R$4k,jorge.cavalcanti.souza89@gmail.com,,(62) 98844-4897,(62) 3223-8559,Av. Djalma Batista,1447,,Copacabana,Goiânia,GO,19472-246,Brasil,Apartamento,2024-04-02,App Android,,AMIGO15,Básico,19.9,Mensal,Inativo,2026-04-08,Cartão de Crédito,Visa,3168,06/31,,0,25,136.8,2,1,Notebook,"Notebook, Chromecast",Português,Desativada,Sim,Sim,Sim,Sim,Sim,2026-04-13 00:00,187.131.190.235,Problemas técnicos,3
CLI-1016,Lucas Rodrigues Carvalho,577.980.733-36,03/01/1989,37,Masculino,Viúvo(a),Estudante,Até R$2k,lucas.rodrigues.carvalho99@gmail.com,lucas70@outlook.com,(27) 97402-4226,,Rua Barão de Melgaço,2178,,Moema,Vitória,ES,11374-662,Brasil,Casa,2022-06-11,Indicação de amigo,,AMIGO15,Premium,49.9,Mensal,Inadimplente,2026-01-18,Boleto,,,,,103,47,2222.71,5,4,Fire Stick,"Notebook, Console PS5, Console Xbox, iPhone",Português,Desativada,Não,Sim,Sim,Sim,Não,2026-04-15 00:00,157.9.46.71,,5
CLI-1017,Patricia Ribeiro Freitas,902.763.565-50,10/02/1961,64,Feminino,Viúvo(a),Empresário,R$7k a R$10k,patricia.ribeiro.freitas51@gmail.com,,(92) 96281-9788,,Alameda das Palmeiras,1161,,Boa Viagem,Parintins,AM,87523-662,Brasil,Casa,2022-09-16,App iOS,IND3087,AMIGO15,Padrão,34.9,Mensal,Ativo,2026-04-30,Cartão de Crédito,Hipercard,6068,09/31,,0,44,1434.57,4,2,Console PS5,"Tablet, iPhone, Celular Android, Console Xbox",Português,Inglês,Não,Sim,Não,Não,Sim,2026-04-29 05:00,131.43.50.157,,5
CLI-1018,Isabela Araujo Lima,172.314.323-96,25/01/1987,38,Feminino,Divorciado(a),CLT,R$4k a R$7k,isabela.araujo.lima24@gmail.com,,(27) 94856-7848,,Travessa do Sol,660,Apto 101,Compensa,Vitória,ES,76028-732,Brasil,Casa,2023-05-21,Smart TV,,,Padrão,34.9,Mensal,Inativo,2026-02-18,Cartão de Crédito,American Express,7077,07/31,,0,35,93.11,3,2,Notebook,"Chromecast, Notebook, Fire Stick",Português,Desativada,Não,Sim,Não,Sim,Não,2026-02-19 00:00,156.115.0.219,Não usa mais,1
CLI-1019,Isabela Lima Ribeiro,192.348.576-71,12/02/1954,71,Masculino,União Estável,Vendedor,R$4k a R$7k,isabela.lima.ribeiro24@hotmail.com,,(31) 92539-1405,,Rua Rio Negro,1065,Casa,Copacabana,Belo Horizonte,MG,60292-714,Brasil,Apartamento,2022-05-12,App iOS,,AMIGO15,Premium,49.9,Mensal,Ativo,2026-04-13,Débito em Conta,,1362,09/27,,0,48,2080.09,3,4,iPhone,Smart TV,Português,Português,Não,Sim,Sim,Não,Sim,2026-04-27 19:00,168.235.144.215,,2
CLI-1020,Lucas Cunha Rodrigues,883.971.873-86,25/03/1956,69,Masculino,Viúvo(a),Desenvolvedor,R$2k a R$4k,lucas.cunha.rodrigues27@hotmail.com,lucas80@outlook.com,(62) 97169-6666,(62) 3389-4238,Rua das Acácias,908,,Centro Sul,Goiânia,GO,94085-975,Brasil,Casa,2022-06-04,Site,,AMIGO15,Padrão,34.9,Mensal,Ativo,2026-04-14,Boleto,,,,,0,47,1571.93,1,2,Notebook,"Chromecast, Console Xbox, Smart TV",Português,Português,Não,Sim,Sim,Não,Sim,2026-04-28 03:00,183.178.158.245,,4
CLI-1021,Sofia Barbosa Lima,778.474.703-44,17/10/1960,65,Masculino,Divorciado(a),Vendedor,R$2k a R$4k,sofia.barbosa.lima67@gmail.com,,(62) 91646-5935,(62) 3797-1487,Av. Constantino Nery,272,,Centro,Goiânia,GO,56851-846,Brasil,Casa,2022-06-28,Smart TV,,BLACK50,Família,59.9,Mensal,Ativo,2026-04-24,PayPal,,,,,0,46,2364.32,5,5,Smart TV,"iPhone, Celular Android, Chromecast, Fire Stick",Português,Português,Sim,Sim,Sim,Não,Sim,2026-04-29 01:00,134.92.97.229,,2
CLI-1022,Jorge Ribeiro Rodrigues,479.431.985-80,12/10/2006,19,Prefiro não informar,União Estável,Estudante,Até R$2k,jorge.ribeiro.rodrigues82@hotmail.com,,(27) 93920-6344,(27) 4049-6485,Av. Constantino Nery,1033,Fundos,Compensa,Vitória,ES,80824-868,Brasil,Casa,2024-10-19,Smart TV,,,Família,59.9,Mensal,Inativo,2026-03-30,PayPal,,,,,0,18,974.94,3,5,Notebook,"iPhone, Console PS5, Chromecast, Fire Stick",Inglês,Português,Não,Sim,Sim,Não,Sim,2026-04-09 00:00,182.51.194.142,Migrou para concorrente,2
CLI-1023,Isabela Fernandes Oliveira,782.769.542-16,17/08/1990,35,Masculino,Casado(a),Vendedor,R$2k a R$4k,isabela.fernandes.oliveira8@hotmail.com,,(81) 93941-1758,,Rua das Acácias,2251,Casa,Centro Sul,Recife,PE,25580-351,Brasil,Apartamento,2024-10-08,Site,,BLACK50,Básico,19.9,Mensal,Inativo,2026-03-30,PIX,,,,Telefone,0,19,56.39,4,1,Notebook,"Celular Android, Console Xbox, Smart TV",Português,Português,Sim,Sim,Não,Não,Sim,2026-04-03 00:00,134.33.34.5,Problemas técnicos,1
CLI-1024,Pedro Freitas Cunha,403.715.155-61,07/06/1962,63,Feminino,União Estável,Desenvolvedor,R$7k a R$10k,pedro.freitas.cunha40@hotmail.com,pedro72@outlook.com,(31) 94842-2816,,Rua Belo Horizonte,1446,,Alvorada,Belo Horizonte,MG,59867-434,Brasil,Apartamento,2024-07-19,Site,IND2008,,Premium,49.9,Mensal,Inativo,2026-03-28,PayPal,,,,,0,21,141.38,4,4,Smart TV,"Notebook, Fire Stick, Tablet, Smart TV",Português,Inglês,Não,Sim,Sim,Não,Sim,2026-03-29 00:00,143.15.94.107,Pouco conteúdo,4
